id,full_name,age,gender,email,phone,address,join_date,salary,department,rating,comments
1,Charles Johnson,63,Male,charles.johnson@example.com,98XXXXXXXX,"1689 Maple Rd, New York, NY 31217",10/9/2021,142508,HR,4.3,Sometimes late
2,Jessica Hernandez,68,Male,jessica.hernandez@example.com,4352008874,"5159 Maple Rd, San Antonio, TX 30083",2/22/2024,115367,Sales,3.5,Good employee
3,James Rodriguez,23,Female,james.rodriguez@example.com,4016471921,"8753 Pine St, Los Angeles, CA 43288",2/4/2022,130447,Operations,4,Exceeds expectations
4,Jessica Anderson,31,Female,jessica.anderson@example.com,7848959904,"2190 Lake Dr, Houston, TX 59494",11/27/2022,96860,Marketing,5,Team player
5,Jennifer Anderson,64,Female,jennifer.anderson@example.com,98XXXXXXXX,"8324 Park Ave, Philadelphia, PA 61920",8/25/2021,141389,Engineering,3.3,Good employee
6,Linda Taylor,57,Female,linda.taylor@example.com,9276317179,"7868 Pine St, Philadelphia, PA 24662",7/28/2024,131285,HR,2,Potential leader
7,Susan Thomas,54,Female,susan.thomas@example.com,6172277705,"4882 Pine St, San Antonio, TX 47855",3/13/2023,83724,Marketing,3.6,Average performer
8,Karen Wilson,67,Female,missing@example.com,6129133913,"6110 Pine St, Los Angeles, CA 72296",7/24/2025,141393,HR,4.3,Team player
9,Richard Rodriguez,43,Male,richard.rodriguez@example.com,98XXXXXXXX,"7047 Main St, San Jose, CA 57361",7/3/2023,50582,Legal,3.5,Average performer
10,Susan Williams,67,Female,susan.williams@example.com,98XXXXXXXX,"8563 Main St, Los Angeles, CA 13748",9/25/2022,43133,Legal,2.7,Team player
11,Patricia Moore,21,Male,patricia.moore@example.com,3972992430,"9885 Maple Rd, Chicago, IL 43718",4/17/2023,100675,Marketing,2.3,Excellent work
12,Richard Hernandez,46,Male,richard.hernandez@example.com,4924198885,"9631 Cedar Ln, Phoenix, AZ 64634",3/8/2022,35113,Operations,4.6,Excellent work
13,Sarah Thomas,57,Female,sarah.thomas@example.com,7079686837,"3744 Hill St, New York, NY 87252",3/5/2026,33102,Operations,4,Exceeds expectations
14,Michael Anderson,47,Male,michael.anderson@example.com,3724916917,"6417 Lake Dr, San Jose, CA 41261",9/8/2024,64041,Legal,4.6,Excellent work
15,Richard Taylor,30,Male,richard.taylor@example.com,7609782276,"6648 Washington Blvd, Phoenix, AZ 14881",7/4/2024,131084,Operations,2.2,Exceeds expectations
16,Charles Jackson,66,Male,charles.jackson@example.com,8513738088,"2241 Hill St, Chicago, IL 15033",1/16/2025,144553,IT,3.5,Exceeds expectations
17,Richard Wilson,38,Male,richard.wilson@example.com,5346445565,"9906 Maple Rd, San Diego, CA 21278",1/18/2024,54114,Engineering,2.4,Sometimes late
17,Thomas Gonzalez,59,Female,thomas..gonzalez@example..com,4964897893,"4233 Hill St, Houston, TX 28925",6/16/2023,88920,Legal,4.8,Exceeds expectations
18,Dr. Patricia Brown,68,Male,patricia.brown@example.com,5086747338,"9632 Cedar Ln, Philadelphia, PA 61148",12/14/2021,95382,Marketing,3.1,Excellent work
19,Robert Jones,35,Male,robert.jones@example.com,98XXXXXXXX,"9982 Elm St, New York, NY 15631",8/12/2025,70057,Operations,4.7,Excellent work
20,Elizabeth Miller,69,Male,elizabeth.miller@example.com,9873921820,"5965 Main St, Philadelphia, PA 29109",12/17/2023,80880,Sales,4.7,Needs improvement
21,Charles Martinez,66,Female,charles.martinez@example.com,4196654401,"7506 Elm St, Philadelphia, PA 18552",3/3/2025,81660,Sales,2.7,Needs improvement
22,james jackson,45,Male,james.jackson@example.com,6307153336,"8119 Maple Rd, Houston, TX 81744",7/9/2023,77530,Finance,3.5,Team player
23,David Johnson,67,Female,david.johnson@example.com,5078796281,"9976 Oak Ave, Los Angeles, CA 11033",3/29/2023,127645,Operations,3.4,Team player
24,Joseph Jackson,40,Male,joseph..jackson@example..com,5132014197,"678 Pine St, Phoenix, AZ 17708",10/23/2022,104798,Sales,3.7,Exceeds expectations
25,John Martin,38,Male,john.martin@example.com,98XXXXXXXX,"1124 Washington Blvd, Philadelphia, PA 13261",10/14/2025,60181,Engineering,2.2,Sometimes late
26,Karen Gonzalez,30,Male,karen.gonzalez@example.com,9602077768,2865 Washington Blvd,5/16/2023,54471,IT,2.7,Potential leader
27,Jessica Martinez,24,Male,jessica.martinez@example.com,98XXXXXXXX,"8365 Main St, San Jose, CA 15739",8/4/2025,133048,IT,4.3,Needs improvement
28,Patricia Martin,23,Female,patricia.martin@example.com,2725299267,"3446 Oak Ave, Chicago, IL 44494",4/24/2021,120026,Legal,3.1,Sometimes late
29,Jennifer Lopez,99,Female,jennifer.lopez@example.com,7319788292,"6098 Maple Rd, Dallas, TX 60606",9/11/2022,60198,Sales,2.1,Sometimes late
30,Mary Moore,70,Male,mary.moore@example.com,98XXXXXXXX,"8222 Pine St, Dallas, TX 21397",4/23/2022,144519,Operations,4.6,Exceeds expectations
31,Jessica Davis,41,Female,jessica.davis@example.com,9495339249,"9956 Pine St, Chicago, IL 21918",5/27/2025,108189,HR,3.7,Team player
