id,full_name,age,gender,email,phone,address,join_date,salary,department,rating,comments
5107.0,Charles Johnson,63.0,M,charles.johnson@example.com,+1 3326862720,"1689 Maple Rd, New York, NY 31217",2021-10-09,142508.0,HR,4.3,Sometimes late
1419.0,Jessica Hernandez,68.0,M,jessica.hernandez@example.com,(435) 200-8874,"5159 Maple Rd, San Antonio, TX 30083",2024-02-22,115367.0,Sales,,Good employee
4829.0,James Rodriguez,23.0,,james.rodriguez@example.com,401.647.1921,"8753 Pine St, Los Angeles, CA 43288",2022-02-04,130447.0,Operations,4.0,
652.0,Jessica Anderson,31.0,FEMALE,jessica.anderson@example.com,(784) 895-9904,"2190 Lake Dr, Houston, TX 59494",27-11-2022,96860.0,Markting,5.0,Team player
3299.0,Jennifer Anderson,64.0,F,jennifer.anderson@example.com,555-5555,"8324 Park Ave, Philadelphia, PA 61920",2021-08-25,141389.0,Engineering,3.3,Good employee
3800.0,Linda Taylor,57.0,F,linda.taylor@example.com,927-631-7179,"7868 Pine St, Philadelphia, PA 24662",2024-07-28,131285.0,HR,2.0,Potential leader
347.0,Susan Thomas,54.0,,susan.thomas@example.com,617.227.7705,"4882 Pine St, San Antonio, TX 47855",2023-03-13,83724.0,Marketing,3.6,Average performer
1878.0,Karen Wilson,67.0,F,,(612) 913-3913,"6110 Pine St, Los Angeles, CA 72296",2025-07-24,141393.0,HR,4.3,Team player
563.0,Richard Rodriguez,,M,richard.rodriguez@example.com,+1 8632484616,"7047 Main St, San Jose, CA 57361",2023-07-03,50582.0,Legal,12.1,Average performer
5202.0,Susan Williams,67.0,F,susan.williams@example.com,12345,"8563 Main St, Los Angeles, CA 13748",2022-09-25,43133.0,Legal,2.7,Team player
1742.0,Patricia Moore,21.0,M,patricia.moore@example.com,(397) 299-2430,"9885 Maple Rd, Chicago, IL 43718",2023-04-17,100675.0,Marketing,2.3,Excellent work
3405.0,Richard Hernandez,46.0,M,richard.hernandez@example.com,492.419.8885,"9631 Cedar Ln, Phoenix, AZ 64634",2022-03-08,35113.0,Operations,4.6,Excellent work
1072.0,Sarah Thomas,57.0,F,sarah.thomas@example.com,707-968-6837,"3744 Hill St, New York, NY 87252",2026-03-05,33102.0,Operations,4.0,Exceeds expectations
7443.0,Michael Anderson,47.0,M,michael.anderson@example.com,372.491.6917,"6417 Lake Dr, San Jose, CA 41261",2024-09-08,64041.0,Legal,4.6,Excellent work
9264.0,Richard Taylor,30.0,M,richard.taylor@example.com,760-978-2276,"6648 Washington Blvd, Phoenix, AZ 14881",2024-07-04,131084.0,Operations,2.2,
4619.0,Charles Jackson,66.0,M,charles.jackson@example.com,851-373-8088,"2241 Hill St, Chicago, IL 15033",2025-01-16,144553.0,IT,3.5,
9283.0,Richard Wilson,38.0,M,richard.wilson@example.com,534-644-5565,"9906 Maple Rd, San Diego, CA 21278",2024-01-18,54114.0,Engineering,2.4,Sometimes late
6570.0,Thomas Gonzalez,59.0,F,thomas..gonzalez@example..com,496-489-7893,"4233 Hill St, Houston, TX 28925",2023-06-16,88920.0,Legal,4.8,Exceeds expectations
533.0,Dr. Patricia Brown,68.0,M,patricia.brown@example.com,508-674-7338,"9632 Cedar Ln, Philadelphia, PA 61148",2021-12-14,,Marketing,3.1,Excellent work
2685.0,Robert Jones,35.0,M,robert.jones@example.com,+1 6326129323,"9982 Elm St, New York, NY 15631",2025-08-12,70057.0,Operations,4.7,Excellent work
6028.0,Elizabeth Miller,69.0,M,elizabeth.miller@example.com,987-392-1820,"5965 Main St, Philadelphia, PA 29109",2023-12-17,80880.0,Sales,4.7,Needs improvement
1077.0,Charles Martinez,66.0,Prefer not to say,charles.martinez@example.com,419-665-4401,"7506 Elm St, Philadelphia, PA 18552",2025-03-03,81660.0,Sales,2.7,Needs improvement
2392.0,james jackson,45.0,M,james.jackson@example.com,630.715.3336,"8119 Maple Rd, Houston, TX 81744",2023-07-09,77530.0,Finance,12.9,Team player
2320.0,David Johnson,67.0,F,david.johnson@example.com,507-879-6281,"9976 Oak Ave, Los Angeles, CA 11033",2023-03-29,127645.0,Operations,3.4,Team player
4787.0,Joseph Jackson,40.0,M,joseph..jackson@example..com,513.201.4197,"678 Pine St, Phoenix, AZ 17708",2022-10-23,104798.0,,3.7,
8145.0,John Martin,38.0,M,john.martin@example.com,+1 5838192870,,2025-10-14,60181.0,Engineering,2.2,Sometimes late
7775.0,Karen Gonzalez,30.0,M,karen.gonzalez@example.com,960.207.7768,2865 Washington Blvd,2023-05-16,54471.0,IT,2.7,Potential leader
,Jessica Martinez,24.0,M,jessica.martinez@example.com,+1 9426066896,"8365 Main St, San Jose, CA 15739",2025-08-04,133048.0,IT,4.3,Needs improvement
7448.0,Patricia Martin,23.0,F,patricia.martin@example.com,272.529.9267,"3446 Oak Ave, Chicago, IL 44494",2021-04-24,120026.0,Legal,3.1,Sometimes late
34.0,Jennifer Lopez,99.5,F,jennifer.lopez@example.com,731-978-8292,"6098 Maple Rd, Dallas, TX 60606",2022-09-11,60198.0,Sales,2.1,Sometimes late
,Mary Moore,70.0,M,mary.moore@example.com,+1 9459972489,"8222 Pine St, Dallas, TX 21397",2022-04-23,144519.0,Operations,4.6,
3306.0,Jessica Davis,41.0,F,jessica.davis@example.com,949-533-9249,"9956 Pine St, Chicago, IL 21918",2025-05-27,108189.0,HR,3.7,Team player
8727.0,Mary Lopez,36.0,M,mary.lopez@example.com,316.459.5972,"1038 Maple Rd, Houston, TX 50011",2021-08-08,40667.0,IT,2.1,Excellent work
7744.0,William Garcia,18.0,M,william.garcia@example.com,,"4150 Cedar Ln, Chicago, IL 98488",2023-02-01,107525.0,IT,4.6,Sometimes late
5642.0,Karen Johnson,53.0,F,karen.johnson@example.com,,"3538 Park Ave, Dallas, TX 37079",2025-11-11,48284.0,Sales,4.9,Excellent work
5503.0,William Jones,63.0,F,william.jones@example.com,962.452.7992,"7467 Lake Dr, Dallas, TX 46378",2023-06-17,111721.0,Marketing,2.2,Excellent work
440.0,Mary Garcia,62.0,M,mary.garcia@example.com,+1 2189738285,"1741 Park Ave, San Diego, CA 40403",2024-03-16,116078.0,Legal,2.2,Average performer
6235.0,Susan Martin,67.0,M,susan.martin@example.com,,"1627 Park Ave, Phoenix, AZ 49771",2024-11-16,76427.0,Legal,2.4,Needs improvement
5577.0,Elizabeth Garcia,32.0,M,elizabeth.garcia@example.com,(833) 489-6985,"7065 Washington Blvd, Houston, TX 72409",2022-03-01,54340.0,HR,2.7,
5835.0,Michael Jackson,44.0,M,michael.jackson@example.com,591-501-8595,"3052 Pine St, Los Angeles, CA 46345",2025-01-04,48284.0,IT,4.5,Needs improvement
933.0,Robert Martin,53.0,M,robert.martin@example.com,(463) 999-8275,"2676 Park Ave, Dallas, TX 43840",2021-04-25,45896.0,Marketing,3.9,Average performer
9419.0,James Thomas,20.0,M,james.thomas@example.com,828.341.5393,"9578 Cedar Ln, Houston, TX 44041",02/20/2022,34866.0,HR,2.6,Needs improvement
1181.0,Jessica Moore,68.0,F,jessica.moore@example.com,+1 7585806738,"4774 Lake Dr, Phoenix, AZ 50288",2023-06-30,79722.0,Engineering,3.3,
6544.0,Mary Rodriguez,34.0,M,mary.rodriguez@example.com,+1 8089887958,"3288 Elm St, Philadelphia, PA 71904",2022-04-12,91340.0,Market,3.8,Team player
6546.0,David Johnson,45.0,F,david.johnson@example.com,812.931.6191,"8243 Lake Dr, Chicago, IL 46924",2022-08-29,61029.0,Engineering,2.5,
9649.0,Robert Davis,32.0,M,robert.davis@example.com,386.630.2234,"9343 Main St, San Antonio, TX 76822",2025-06-24,68197.0,HR,2.5,Excellent work
